ObjectID,Pair,i,j,Distance_Meters_dij,dij,popi,popj,pij20,pij60,pij140,Mij_10%_20mi,Mij_10%_60mi,Mij_10%_140mi,Mij_30%_20mi,Mij_30%_60mi,Mij_30%_140mi,Mij_50%_20mi,Mij_50%_60mi,Mij_50%_140mi,Real_mij,Mij_R
9596,57 - 123,57,123,91527.19,56.87,5385,2879,0,0.000541918,0.000475259,0,0,0,0,1,1,0,1,1,1,2
9597,57 - 155,57,155,91894.69,57.10,5385,54661,0,0.010247769,0.008987227,0,6,5,0,17,15,0,28,24,0,0
9598,57 - 164,57,164,93579.78,58.15,5385,19656,0,0.003618722,0.003173596,0,2,2,0,6,5,0,10,9,0,0
9599,57 - 16,57,16,94440.61,58.68,5385,41097,0,0.007497103,0.006574911,0,4,4,0,12,11,0,20,18,0,0
9600,57 - 130,57,130,94553.36,58.75,5385,1640,0,0.00029882,0.000262063,0,0,0,0,0,0,0,1,1,0,0
9601,57 - 19,57,19,98009.36,60.90,5385,51967,0,0,0.00801122,0,0,4,0,0,13,0,0,22,0,0
9602,57 - 139,57,139,99001.12,61.52,5385,3434,0,0,0.000524081,0,0,0,0,0,1,0,0,1,0,0
9603,57 - 133,57,133,99017.73,61.53,5385,2160,0,0,0.000329594,0,0,0,0,0,1,0,0,1,0,0
9604,57 - 122,57,122,99364.19,61.74,5385,1368,0,0,0.000208015,0,0,0,0,0,0,0,0,1,1,2
9605,57 - 9,57,9,101115.94,62.83,5385,19470,0,0,0.002909276,0,0,2,0,0,5,0,0,8,0,0
9606,57 - 138,57,138,102816.16,63.89,5385,1399,0,0,0.000205587,0,0,0,0,0,0,0,0,1,0,0
9607,57 - 131,57,131,102893.72,63.94,5385,3254,0,0,0.000477823,0,0,0,0,0,1,0,0,1,0,0
9608,57 - 20,57,20,103037.35,64.02,5385,35802,0,0,0.005249902,0,0,3,0,0,8,0,0,14,0,0
9609,57 - 12,57,12,103511.77,64.32,5385,27774,0,0,0.004054033,0,0,2,0,0,7,0,0,11,0,0
9610,57 - 2,57,2,103674.60,64.42,5385,144900,0,0,0.021117115,0,0,11,0,0,34,0,0,57,0,0
9611,57 - 120,57,120,105076.90,65.29,5385,1055,0,0,0.000151699,0,0,0,0,0,0,0,0,0,0,0
9612,57 - 119,57,119,106258.86,66.03,5385,1641,0,0,0.000233336,0,0,0,0,0,0,0,0,1,0,0
9613,57 - 7,57,7,109693.98,68.16,5385,61952,0,0,0.008533183,0,0,5,0,0,14,0,0,23,0,0
9614,57 - 129,57,129,110653.98,68.76,5385,26974,0,0,0.003683128,0,0,2,0,0,6,0,0,10,0,0
9615,57 - 3,57,3,111487.24,69.27,5385,17002,0,0,0.002304164,0,0,1,0,0,4,0,0,6,0,0
9616,57 - 135,57,135,111797.31,69.47,5385,2703,0,0,0.000365303,0,0,0,0,0,1,0,0,1,1,2
9617,57 - 6,57,6,111814.77,69.48,5385,7517,0,0,0.001015743,0,0,1,0,0,2,0,0,3,0,0
9618,57 - 1,57,1,112750.01,70.06,5385,19714,0,0,0.00264178,0,0,1,0,0,4,0,0,7,0,0
9619,57 - 125,57,125,115084.37,71.51,5385,2785,0,0,0.000365635,0,0,0,0,0,1,0,0,1,0,0
9620,57 - 134,57,134,115668.72,71.87,5385,3598,0,0,0.000469985,0,0,0,0,0,1,0,0,1,0,0
9621,57 - 4,57,4,117595.14,73.07,5385,84730,0,0,0.010886453,0,0,6,0,0,18,0,0,29,0,0
9622,57 - 14,57,14,118679.87,73.74,5385,9125,0,0,0.001161701,0,0,1,0,0,2,0,0,3,0,0
9623,57 - 22,57,22,119042.38,73.97,5385,28115,0,0,0.003568412,0,0,2,0,0,6,0,0,10,0,0
9624,57 - 17,57,17,119913.11,74.51,5385,3614,0,0,0.000455365,0,0,0,0,0,1,0,0,1,0,0
9625,57 - 21,57,21,122967.24,76.41,5385,10247,0,0,0.001259058,0,0,1,0,0,2,0,0,3,0,0
9626,57 - 11,57,11,125724.01,78.12,5385,13877,0,0,0.001667692,0,0,1,0,0,3,0,0,4,0,0
9627,57 - 13,57,13,126781.72,78.78,5385,89047,0,0,0.010612097,0,0,6,0,0,17,0,0,29,0,0
9628,57 - 23,57,23,126962.11,78.89,5385,18397,0,0,0.002189331,0,0,1,0,0,4,0,0,6,0,0
9629,57 - 15,57,15,128976.10,80.14,5385,25008,0,0,0.0029296,0,0,2,0,0,5,0,0,8,0,0
9630,57 - 10,57,10,131040.04,81.42,5385,20213,0,0,0.002330587,0,0,1,0,0,4,0,0,6,0,0
9631,57 - 5,57,5,134085.37,83.32,5385,21753,0,0,0.002451186,0,0,1,0,0,4,0,0,7,0,0
9632,57 - 18,57,18,138194.44,85.87,5385,129775,0,0,0.014188583,0,0,8,0,0,23,0,0,38,0,0
9633,57 - 8,57,8,146806.72,91.22,5385,62727,0,0,0.006455756,0,0,3,0,0,10,0,0,17,1,2
9634,58 - 58,58,58,0.00,0.00,12414,12414,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9635,58 - 55,58,55,10049.26,6.24,12414,3231,0.013280082,0.005361743,0.004682476,16,7,6,49,20,17,82,33,29,2,10
9636,58 - 56,58,56,10972.71,6.82,12414,4890,0.018407421,0.007431872,0.006490344,23,9,8,69,28,24,114,46,40,2,10
9637,58 - 61,58,61,11662.68,7.25,12414,25817,0.091433492,0.036915653,0.03223889,114,46,40,341,137,120,568,229,200,3,16
9638,58 - 69,58,69,12134.71,7.54,12414,14655,0.049883195,0.020140002,0.017588509,62,25,22,186,75,66,310,125,109,1,5
9639,58 - 71,58,71,13888.62,8.63,12414,29303,0.087146708,0.035184893,0.030727396,108,44,38,325,131,114,541,218,191,2,10
9640,58 - 57,58,57,14855.06,9.23,12414,5385,0.014973008,0.006045251,0.005279391,19,8,7,56,23,20,93,38,33,0,0
9641,58 - 72,58,72,17030.40,10.58,12414,5887,0.014277989,0.005764642,0.005034332,18,7,6,53,21,19,89,36,31,1,5
9642,58 - 88,58,88,17043.22,10.59,12414,57699,0.139834519,0.05645724,0.049304796,174,70,61,521,210,184,868,350,306,2,10
9643,58 - 65,58,65,18689.01,11.61,12414,24706,0.054602681,0.022045463,0.019252572,68,27,24,203,82,72,339,137,120,3,16
9644,58 - 60,58,60,19784.03,12.29,12414,9482,0.019796256,0.007992604,0.006980039,25,10,9,74,30,26,123,50,43,0,0
9645,58 - 59,58,59,20393.70,12.67,12414,16299,0.033011313,0.013328094,0.011639587,41,17,14,123,50,43,205,83,72,1,5
9646,58 - 45,58,45,21881.26,13.60,12414,4261,0.008043352,0.003247449,0.002836037,10,4,4,30,12,11,50,20,18,3,16
9647,58 - 48,58,48,22002.30,13.67,12414,2256,0.004235151,0.001709914,0.001493288,5,2,2,16,6,6,26,11,9,0,0
9648,58 - 30,58,30,24785.03,15.40,12414,7207,0.012010553,0.004849179,0.004234848,15,6,5,45,18,16,75,30,26,0,0
9649,58 - 80,58,80,24798.36,15.41,12414,49998,0.083277477,0.033622718,0.029363129,103,42,36,310,125,109,517,209,182,0,0
9650,58 - 96,58,96,25025.20,15.55,12414,26054,0.043002604,0.01736201,0.015162455,53,22,19,160,65,56,267,108,94,2,10
